aH	b	622
aH	B	1275
AH	x	365
AH	r	274
aH	v	2151
aH	g	572
aH	m	1717
iH	B	205
iH	e	132
iH	n	202
iH	x	159
iH	l	31
oH	a	110
uH	y	117
aH	u	4792
iH	A	91
aH	y	1029
AH	S	434
AH	B	268
iH	w	388
iH	k	216
aH	e	680
uH	a	237
aH	S	1499
AH	p	924
aH	k	1956
aH	l	305
aH	i	768
aH	w	3660
iH	i	180
aH	n	1629
aH	s	3463
iH	m	210
iH	a	259
aH	c	3281
aH	h	729
oH	c	91
AH	i	202
uH	b	90
aH	p	2787
aH	C	39
aH	a	2637
oH	s	95
iH	s	369
EH	n	172
eH	c	57
aH	A	145
uH	u	250
oH	w	132
EH	s	305
EH	k	213
aH	X	410
AH	g	198
AH	k	546
iH	y	163
AH	a	80
AH	v	658
aH	x	1242
AH	w	1292
AH	e	49
AH	s	1306
uH	w	279
iH	v	315
iH	c	442
oH	A	29
iH	p	358
uH	S	130
uH	v	225
aH	j	645
iH	g	60
uH	c	315
uH	n	159
iH	j	90
AH	m	500
uH	s	353
iH	I	17
oH	S	42
EH	g	109
AH	h	208
uH	k	189
EH	B	111
EH	j	65
EH	c	621
aH	K	60
uH	m	247
uH	i	73
iH	S	164
uH	A	76
AH	n	468
EH	m	229
eH	v	33
AH	K	22
AH	P	15
EH	y	165
AH	c	1494
AH	y	373
EH	S	210
EH	v	333
aH	I	18
AH	b	201
uH	p	306
eH	u	11
AH	j	176
IH	v	13
uH	j	62
oH	y	55
oH	B	23
iH	h	55
IH	y	3
AH	u	38
oH	p	111
EH	u	78
eH	n	16
oH	v	118
aH	P	45
eH	k	41
oH	e	38
uH	x	145
EH	x	182
EH	w	343
eH	j	13
IH	s	24
eH	p	59
oH	n	40
IH	I	1
oH	u	16
oH	h	18
uH	B	113
aH	R	30
EH	i	138
EH	p	298
eH	i	18
iH	o	4
uH	g	65
AH	A	17
IH	j	5
oH	R	1
iH	X	48
uH	X	42
oH	g	13
iH	u	444
aH	G	62
uH	h	52
IH	A	6
iH	b	99
EH	e	69
AH	l	70
EH	A	73
uH	e	74
AH	R	15
aH	U	210
AH	q	31
EH	h	94
oH	k	38
AH	U	107
eH	a	58
AH	C	13
UH	A	1
eH	x	24
eH	l	7
IH	k	10
iH	E	1
IH	w	18
oH	x	43
oH	i	65
aH	q	31
iH	K	5
EH	G	17
UH	s	5
oH	E	3
eH	g	16
EH	l	37
EH	b	118
IH	p	10
uH	l	26
iH	C	5
uH	K	8
EH	a	247
oH	m	61
eH	s	44
AH	X	121
IH	n	6
uH	q	8
IH	i	14
aH	r	4
eH	w	38
uH	G	5
oH	P	5
IH	c	26
EH	P	11
EH	K	16
EH	X	36
IH	S	10
uH	C	7
oH	G	3
eH	m	12
aH	J	2
UH	m	2
uH	E	3
uH	U	5
UH	K	2
oH	j	10
EH	r	6
eH	y	12
oH	O	1
uH	R	2
eH	B	5
IH	X	10
EH	C	18
AH	G	28
UH	c	6
eH	b	8
oH	l	9
eH	A	14
eH	e	5
EH	I	4
oH	b	13
eH	S	14
IH	a	10
iH	O	4
EH	q	4
iH	G	2
UH	S	2
IH	m	8
UH	x	1
UH	u	6
UH	k	2
UH	i	3
eH	P	2
IH	B	2
iH	q	4
IH	u	19
uH	o	2
iH	R	4
EH	U	2
oH	X	5
UH	y	3
UH	v	5
uH	I	12
aH	d	2
UH	B	6
aH	o	9
EH	R	2
oH	C	4
iH	U	2
IH	q	1
IH	g	2
AH	I	3
IH	l	1
EH	O	2
eH	h	5
iH	P	2
UH	o	1
UH	b	3
AH	t	1
oH	I	2
aH	O	2
aH	E	3
UH	n	4
eH	X	3
AH	J	2
eH	C	3
eH	q	1
UH	w	1
IH	h	3
eH	O	1
eH	U	2
oH	r	1
eH	R	1
IH	x	2
eH	o	1
eH	r	1
oH	q	1
UH	X	2
oH	K	1
IH	U	1
UH	a	1
m	c	4810
a	m	3754
a	e	3316
m	n	2422
m	e	1755
a	c	4079
m	S	2065
m	m	2659
m	l	664
m	v	4203
e	c	1548
a	s	5339
e	v	1553
a	u	1083
m	u	1666
m	y	1840
i	n	894
a	a	5035
w	g	200
e	S	715
m	s	4119
w	k	825
e	p	1603
u	n	375
a	l	738
i	w	1477
A	w	1834
a	k	3361
A	r	643
A	v	1574
n	v	485
A	c	1443
a	n	2491
e	s	1693
