#Sas,kara~ke
1,0
20,0
2kA,kA
2,ko
2meM,meM
2para,para
2se,se
2u6,kA
3,se
3xvArA,ke~xvArA
3u,kA
4ke_liye,ke~liye
4kI,kI
4,ko
4ko,ko
4meM,meM
4para,para
4se,se
4u,kA
5,se
5u,kA
6,kA
7,meM
7meM,meM
7para,para
7u,kA
8,0
karmaNi_lat,yA_jAwA_hE
karmaNi_lat_sma,yA_jAwA_WA
karmaNi_lut,yA
karmaNi_laf,yA_gayA
karmaNi_lot,subj
karmaNi_lqt,gA
karmaNi_lqf,yA_gayA
karmaNi_luf,yA_gayA
BAve_lat,yA_jAwA_hE
BAve_lat_sma,yA_jAwA_WA
BAve_lut,yA
BAve_laf,yA_gayA
BAve_lot,subj
BAve_lqt,gA
BAve_lqf,yA_gayA
karwari_laf,yA
karwari_luf,yA
karwari_lqf,wA_hE~wo
karwari_lat,wA_hE
karwari_lit,yA
karwari_lot,subj
karwari_lut,gA
karwari_lqt,gA
karwari_viXilif,subj
karwari_ASIrlif,subj
karwari_lat_sma,wA_WA
#To decide the exact mng of lqf
#Sawq_lat,0_rahA_hE
Sawq_lat,wA_huA
Sawq_lat_adv,we_hue
#Sawq_laf,0_rahA_WA
#Sawq_luf,0_rahA_WA
#Sawq_lit,0_rahA_WA
#Sawq_lut,0_rahA_hogA
Sawq_lqt,0_rahA_hogA
#Sawq_ASIrlif,0_rahA_hogA
kwvA,0_kara
lyap,0_kara
kwa,yA_huA
kwa_fin,yA
kwavawu,yA
kwavawu_fin,yA
Sawq,wA_huA
mawup,vAlA
wasil,se
wal,wA
SAnac,wA_huA
SAnac_lat,wA_huA
wumun,nA~ke_liye
wumunkI,nA~kI
wumun0,0
wumun_nA,nA
wqc,ne_vAlA
lyut,nA
lyut_2,nA~ko
lyut_3,nA~se
lyut_4ke_liye,nA~ke_liye
lyut_5,nA~se
lyut_6,nA~kA
lyut_7,nA~meM
anIyar,nA
wavyaw,nA_cAhiye
