#This file maps the stems of feminine adjectives from Heriatge to Anusaaraka.
#Heritage_fem_stem TAB anusaaraka_fem_stem
afgana	afganA
ayam	ixam
ayoXya	ayoXyA
Bagin	BaginI
bAla	bAlA
BArya	BAryA
ena	ixam
eRa	ewax
ganXarva	ganXarvI
gomaW	gomaWI
jAnaka	jAnakI
ka	kim
kaxala	kaxalI
kiRkinXa	kiRkinXA
kOsalya	kOsalyA
kOSalya	kOSalyA
kqRNa	kqRNA
mahiRa	mahiRI
mAlin	mAlinI
manWara	manWarA
mAya	mAyA
mEWila	mEWilI
nalina	nalinI
nAra	nArI
niS	niSA
pOloma	pOlomI
pravrajya	pravrajyA
pura	purI
pur	purI
rakRa	rakRA
rAkRasa	rAkRasI
ramBa	ramBA
saKa	saKI
SArxUla	SArxUlI
sumiwra	sumiwrA
vAmoru	vAmorU
vAnara	vAnarI
varAroha	varArohA
veNi	veNI
vExeha	vExehI
vicAraNa	vicAraNA
viSalya	viSalyA
vyAla	vyAlI
wAra	wArA
xASaraWa	xASaraWi
xeva	xevI
xunxuBi	xunxuBI
ya	yax
