
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI	Apte-dict-form
	
BvAxiH	BU	sawwAyAm	pa.pa	BU#1	BU1	BU
BvAxiH	eXaz	vqxXO	A.pa	eX	eX1	eX
BvAxiH	sparXaz	safGarRe	A.pa	sparX	sparX1	sparX
BvAxiH	gAXqz	granWe	A.pa	-	gAX1	gAX
BvAxiH	gAXqz	lipsAyAm	A.pa	-	gAX1	gAX
BvAxiH	gAXqz	prawiRTAyAm	A.pa	-	gAX1	gAX
BvAxiH	bAXqz	lodane	A.pa	bAX	bAX1	bAX
BvAxiH	bAXqz	rotane	A.pa	bAX	bAX1	bAX
BvAxiH	nAWqz	ASiRi	A.pa	nAW	nAW1	nAW
BvAxiH	nAWqz	ESvarye	A.pa	nAW	nAW1	nAW
BvAxiH	nAWqz	upawApe	A.pa	nAW	nAW1	nAW
BvAxiH	nAWqz	yAFcAyAm	A.pa	nAW	nAW1	nAW
BvAxiH	nAXqz	ASiRi	A.pa	-	nAX1	nAX
BvAxiH	nAXqz	ESvarye	A.pa	-	nAX1	nAX
BvAxiH	nAXqz	upawApe	A.pa	-	nAX1	nAX
BvAxiH	nAXqz	yAFcAyAm	A.pa	-	nAX1	nAX
BvAxiH	xaXaz	XAraNe	A.pa	-	xaX1	xaX
BvAxiH	skuxiz	ApravaNe	A.pa	-	skux1	skunx
BvAxiH	Svixiz	SvEwye	A.pa	-	Svix1	Svinx
BvAxiH	vaxiz	aBivAxane	A.pa	vanx	vax2	vanx
BvAxiH	vaxiz	swuwO	A.pa	vanx	vax2	vanx
BvAxiH	Baxiz	kalyANe	A.pa	Banx	Bax1	Banx
BvAxiH	Baxiz	suKe	A.pa	Banx	Bax1	Banx
BvAxiH	maxiz	gawO	A.pa	-	max1	manx
BvAxiH	maxiz	kAnwO	A.pa	-	max1	manx
BvAxiH	maxiz	maxe	A.pa	manx#1	max1	manx
BvAxiH	maxiz	moxane	A.pa	manx#1	max1	manx
BvAxiH	maxiz	svapne	A.pa	-	max1	manx
BvAxiH	maxiz	swuwO	A.pa	manx#1	max1	manx
BvAxiH	spaxiz	kiFciccalane	A.pa	spanx	spax1	spanx
BvAxiH	muxaz	harRe	A.pa	mux#1	mux1	mux
BvAxiH	xaxaz	xAne	A.pa	-	xax1	xax
BvAxiH	Rvaxaz	AsvAxane	A.pa	svax	Rvax1	svax
BvAxiH	svarxaz	AsvAxane	A.pa	-	svarx1	svarx
BvAxiH	urxaz	krIdAyAm	A.pa	-	urx1	urx
BvAxiH	urxaz	mAne	A.pa	-	urx1	urx
BvAxiH	kurxaz	krIdAyAm	A.pa	-	kurx1	kurx
BvAxiH	Kurxaz	krIdAyAm	A.pa	-	Kurx1	Kurx
BvAxiH	gurxaz	krIdAyAm	A.pa	-	gurx1	gurx
BvAxiH	guxaz	krIdAyAm	A.pa	-	gux1	gux
BvAxiH	hrAxaz	avyakwe_Sabxe	A.pa	hrAx	hrAx1	hrAx
BvAxiH	hlAxIz	avyakwe_Sabxe	A.pa	-	hlAx1	hlAx
BvAxiH	hlAxIz	suKe	A.pa	hlAx	hlAx1	hlAx
BvAxiH	svAxaz	AsvAxane	A.pa	-	svAx1	svAx
BvAxiH	parxaz	kuwsiwe_Sabxe	A.pa	-	parx1	parx
BvAxiH	yawIz	prayawne	A.pa	yaw#1	yaw1	yaw
BvAxiH	yuwqz	BAsane	A.pa	-	yuw1	yuw
BvAxiH	juwqz	BAsane	A.pa	-	juw1	juw
BvAxiH	viWqz	yAFcAyAm	A.pa	-	viW1	viW
BvAxiH	veWqz	yAFcAyAm	A.pa	-	veW1	veW
BvAxiH	SraWiz	SEWilye	A.pa	-	SraW1	SranW
BvAxiH	graWiz	kOtilye	A.pa	-	graW1	granW
BvAxiH	kawWaz	SlAGAyAm	A.pa	kawW	kawW1	kawW
BvAxiH	awaz	sAwawyagamane	pa.pa	aw	aw1	aw
BvAxiH	ciwIz	saMjFAne	pa.pa	ciw#1	ciw1	ciw
BvAxiH	cyuwizr	Asecane	pa.pa	cyu	cyuw1	cyuw
BvAxiH	Scyuwizr	kRaraNe	pa.pa	Scuw#1	Scyuw1	Scyuw
BvAxiH	manWaz	hiMsAyAm	pa.pa	manW	manW1	manW
BvAxiH	manWaz	safkleSane	pa.pa	manW	manW1	manW
BvAxiH	manWaz	vilodane	pa.pa	manW	manW1	manW
BvAxiH	kuWiz	hiMsAyAm	pa.pa	kunW	kuW1	kunW
BvAxiH	kuWiz	safkleSane	pa.pa	kunW	kuW1	kunW
BvAxiH	puWez	gawO	pa.pa	-	puW1	puW
BvAxiH	puWiz	hiMsAyAm	pa.pa	-	puW2	punW
BvAxiH	puWiz	safkleSane	pa.pa	-	puW2	punW
BvAxiH	luWiz	hiMsAyAm	pa.pa	-	luW1	lunW
BvAxiH	luWiz	safkleSane	pa.pa	-	luW1	lunW
BvAxiH	maWiz	hiMsAyAm	pa.pa	-	maW2	manW
BvAxiH	maWiz	safkleSane	pa.pa	-	maW2	manW
BvAxiH	RiXuz	gawyAm	pa.pa	siX#2	RiX2	siX
BvAxiH	RiXUz	SAswre	pa.pa	-	RiX1	siX
BvAxiH	KAxqz	BakRaNe	pa.pa	KAx	KAx1	KAx
BvAxiH	Kaxaz	hiMsAyAm	pa.pa	-	Kax1	Kax
BvAxiH	Kaxaz	sWErye	pa.pa	-	Kax1	Kax
BvAxiH	baxaz	sWErye	pa.pa	-	bax1	bax
BvAxiH	gaxaz	vyakwAyAM_vAci	pa.pa	gax	gax1	gax
