x,y,s,xy,pxy,yx,pyx
7,22,88,35,0.3977272727272727,53,0.6022727272727273
18,80,16,9,0.5625,7,0.4375
7,29,132,91,0.6893939393939394,41,0.3106060606060606
7,14,1028,775,0.7538910505836576,253,0.24610894941634243
14,29,76,13,0.17105263157894737,63,0.8289473684210527
9,29,18,9,0.5,9,0.5
14,25,224,65,0.29017857142857145,159,0.7098214285714286
18,22,9,1,0.1111111111111111,8,0.8888888888888888
14,22,62,5,0.08064516129032258,57,0.9193548387096774
7,18,180,134,0.7444444444444445,46,0.25555555555555554
14,18,210,86,0.4095238095238095,124,0.5904761904761905
28,32,163,46,0.2822085889570552,117,0.7177914110429447
7,49,149,120,0.8053691275167785,29,0.19463087248322147
7,34,227,136,0.5991189427312775,91,0.4008810572687225
32,80,185,152,0.8216216216216217,33,0.1783783783783784
7,32,23,14,0.6086956521739131,9,0.391304347826087
14,34,168,63,0.375,105,0.625
7,24,289,183,0.6332179930795848,106,0.36678200692041524
7,60,10,9,0.9,1,0.1
7,64,7,5,0.7142857142857143,2,0.2857142857142857
60,64,36,28,0.7777777777777778,8,0.2222222222222222
24,26,37,32,0.8648648648648649,5,0.13513513513513514
14,24,183,24,0.13114754098360656,159,0.8688524590163934
14,26,183,104,0.5683060109289617,79,0.43169398907103823
9,18,15,2,0.13333333333333333,13,0.8666666666666667
18,49,17,14,0.8235294117647058,3,0.17647058823529413
18,28,32,20,0.625,12,0.375
7,9,344,299,0.8691860465116279,45,0.1308139534883721
7,28,311,141,0.4533762057877814,170,0.5466237942122186
9,49,25,17,0.68,8,0.32
9,28,50,17,0.34,33,0.66
28,49,48,24,0.5,24,0.5
3,7,41,29,0.7073170731707317,12,0.2926829268292683
3,92,1,1,1.0,0,0.0
7,92,30,21,0.7,9,0.3
32,76,12,12,1.0,0,0.0
7,40,108,75,0.6944444444444444,33,0.3055555555555556
9,40,13,4,0.3076923076923077,9,0.6923076923076923
14,40,63,21,0.3333333333333333,42,0.6666666666666666
9,14,15,10,0.6666666666666666,5,0.3333333333333333
32,33,27,18,0.6666666666666666,9,0.3333333333333333
7,25,328,175,0.5335365853658537,153,0.46646341463414637
25,29,19,8,0.42105263157894735,11,0.5789473684210527
18,25,44,21,0.4772727272727273,23,0.5227272727272727
18,29,13,1,0.07692307692307693,12,0.9230769230769231
14,28,217,101,0.46543778801843316,116,0.5345622119815668
7,26,236,171,0.7245762711864406,65,0.2754237288135593
9,24,31,5,0.16129032258064516,26,0.8387096774193549
9,26,24,8,0.3333333333333333,16,0.6666666666666666
18,26,47,26,0.5531914893617021,21,0.44680851063829785
9,25,34,4,0.11764705882352941,30,0.8823529411764706
28,29,16,10,0.625,6,0.375
7,20,95,59,0.6210526315789474,36,0.37894736842105264
20,25,11,4,0.36363636363636365,7,0.6363636363636364
18,20,11,4,0.36363636363636365,7,0.6363636363636364
14,20,67,27,0.40298507462686567,40,0.5970149253731343
32,35,456,248,0.543859649122807,208,0.45614035087719296
35,80,39,28,0.717948717948718,11,0.28205128205128205
62,66,4,4,1.0,0,0.0
3,9,7,7,1.0,0,0.0
3,49,6,6,1.0,0,0.0
7,10,67,52,0.7761194029850746,15,0.22388059701492538
10,14,106,17,0.16037735849056603,89,0.839622641509434
10,34,24,4,0.16666666666666666,20,0.8333333333333334
34,49,23,15,0.6521739130434783,8,0.34782608695652173
14,49,92,70,0.7608695652173914,22,0.2391304347826087
14,47,39,3,0.07692307692307693,36,0.9230769230769231
47,97,5,5,1.0,0,0.0
14,97,25,16,0.64,9,0.36
7,42,2,0,0.0,2,1.0
13,28,8,4,0.5,4,0.5
7,13,17,7,0.4117647058823529,10,0.5882352941176471
13,29,2,2,1.0,0,0.0
13,24,6,2,0.3333333333333333,4,0.6666666666666666
11,13,3,0,0.0,3,1.0
13,26,3,3,1.0,0,0.0
24,28,59,26,0.4406779661016949,33,0.559322033898305
11,28,12,5,0.4166666666666667,7,0.5833333333333334
