relation_name,relation_id,karaka,misc
niwya_sambanXaH,2,,s
prawiyogI,300,,
BAvalakRaNasapwamI_samAnakAlaH,3,,
BAvalakRaNasapwamI_pUrvakAlaH,4,,
BAvalakRaNasapwamI_ananwarakAlaH,5,,
karwA_be_verbs,6,k,
karwA,7,k,
karwqrahiwakarwqsamAnAXikaraNam,8,k,
viXeya_viSeRaNam,9,k,
karmasamAnAXikaraNam,10,k,
muKyakarma,11,k,
gONakarma,12,k,
vAkyakarma,13,,
karma,14,k,
prayojakakarwA,15,k,
prayojyakarwA,16,k,
karaNam,18,k,
sampraxAnam,19,k,
apAxAnam,20,k,
xeSAXikaraNam,21,k,
kAlAXikaraNam,22,k,
viRayAXikaraNam,23,k,
pUrvakAlaH,24,k,
aXikaraNam,25,k,
kriyAviSeRaNam,26,k,
nirXAraNam,27,,
sambanXaH,28,,
ananwarakAlaH,30,,
samboXana_xyowakaH,31,,
varwamAnasamAnakAlaH,29,,not_in_new
BaviRyawsamAnakAlaH,30,,not_in_new
viSeRaNam,32,,
aBexaH,33,,
hewuH,34,,
hewuH5,70,,
RaRTIsambanXaH,35,,
Gataka,39,,
prayojanam,40,,
prayojanam_xyowakaH,41,,
sanxarBa_binxuH,42,,
wulanA_binxuH,43,,
anuyogI,44,,s
samboXyaH,47,,s
ananwarakAlaH,48,,not_in_new
prawiReXaH,49,,s
Gataka_xyowakaH,55,,
samucciwaH,60,,s
sup_samucciwaH,61,,s
anyawaraH,62,,s
sup_anyawaraH,63,,s
samuccaya_xyowakaH,64,,
sup_samuccaya_xyowakaH,65,,
anyawara_xyowakaH,66,,
sup_anyawara_xyowakaH,67,,
sahArWa_xyowakaH,76,,
vinArWa_xyowakaH,77,,
lyapkarmAXikaraNam,78,,
upamAnam,79,,
upamAna_xyowakaH,80,,
sahAyakakriyA,81,,
vIpsA,82,,
apAxAnam_vIpsA,83,,
karaNam_vIpsA,84,,
uxgAravAcakaH,85,,
svAmI,86,,
aXyAhqwakriyAkarma,87,,
afgavikAraH,88,,
niwya_sambanXaH1,90,,
ZavaXiH,91,,
sahArWaH,92,,
vinArWaH,93,,
AramBa_binxuH,94,,
ABimuKyam,95,,
apavarga_sambanXaH,96,,
vAkyakarma_xyowakaH,97,,
ZiwWamBUwaH,98,,
awyanwasaMyoga_sambanXaH,99,,
upa_apekRA,2000,,
upa_karma,2200,,
upa_karmapravacanIyaH,2300,,
upa_ABimuKyam,2400,,
upa_nirXAraNam,2500,,
upa_prawisixXaH,2600,,
upa_AramBa_binxuH,2900,,
upa_svAmI,3000,,
upa_vinA,3200,,
upa_viRayAXikaraNam,3300,,
apAxAnam_upa,4000,,
xeSAXikaraNam_upa,4100,,
karwqsamAnAXikaraNam_upa,4200,,
sambanXa_upa,4300,,
karwA_upa,4400,,
aXikaraNam_upa,4500,,
gawikarwA,200,,
gawikarma,201,,
iRkarma,214,,
wIvrawAxarSI,51,,
saFjFA_xyowakaH,52,,
saFjFA,53,,
karaNa_xyowakaH,56,,
kArya_xyowakaH,57,,
vyaBicAraH,58,,
kArya_kAraNa_BAvaH,59,,
samAnAXikaraNam,1009,,
upamAnam_rahiwa_upamAnaxyowaka,1079,,
## Added from Raghu data,,,
awyanwasaMyogaH,10001,,not_in_scl
aBiXA,10002,,not_in_scl
aBiXAxyowakaH,10003,,not_in_scl
uwprekRa,10004,,not_in_scl
paryApwaH,10005,,not_in_scl
hewuxyowakaH,10006,,not_in_scl
lupwakriyAkarma,10007,,not_in_scl
GatakaxyowakaH,10008,,not_in_scl
saha_karwA,10009,,not_in_scl
samboXanasUcakam,10010,,not_in_scl
