x	y	s	xy	yx	pxy	pyx
ABimuKyam	karwA	7	4	3	0.571	0.429
ABimuKyam	karma	1	1	0	1.0	0.0
ABimuKyam	prawiReXaH	1	1	0	1.0	0.0
ABimuKyam	viXeya_viSeRaNam	1	1	0	1.0	0.0
ABimuKyam	prayojakakarwA	1	1	0	1.0	0.0
ABimuKyam	kriyAviSeRaNam	1	1	0	1.0	0.0
ABimuKyam	upamAna_xyowakaH	1	1	0	1.0	0.0
BAvalakRaNasapwamI_ananwarakAlaH	karma	2	2	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	karwA	48	38	10	0.792	0.208
BAvalakRaNasapwamI_pUrvakAlaH	karma	32	31	1	0.969	0.031
BAvalakRaNasapwamI_pUrvakAlaH	sambanXaH	24	19	5	0.792	0.208
BAvalakRaNasapwamI_pUrvakAlaH	pUrvakAlaH	23	18	5	0.783	0.217
BAvalakRaNasapwamI_pUrvakAlaH	kriyAviSeRaNam	13	13	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	viXeya_viSeRaNam	7	6	1	0.857	0.143
BAvalakRaNasapwamI_pUrvakAlaH	hewuH	4	3	1	0.75	0.25
BAvalakRaNasapwamI_pUrvakAlaH	prawiReXaH	3	3	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	varwamAnasamAnakAlaH	3	3	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	prayojanam	3	2	1	0.667	0.333
BAvalakRaNasapwamI_pUrvakAlaH	RaRTIsambanXaH	3	3	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	karaNam	2	2	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	samAnakAlaH	2	2	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	prayojyakarwA	1	1	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	prayojakakarwA	1	1	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	viRayAXikaraNam	1	1	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	viSeRaNam	1	1	0	1.0	0.0
BAvalakRaNasapwamI_pUrvakAlaH	karmasamAnAXikaraNam	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	karwA	57	43	14	0.754	0.246
BAvalakRaNasapwamI_samAnakAlaH	karma	32	26	6	0.812	0.188
BAvalakRaNasapwamI_samAnakAlaH	kriyAviSeRaNam	13	10	3	0.769	0.231
BAvalakRaNasapwamI_samAnakAlaH	prawiReXaH	7	7	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	viXeya_viSeRaNam	7	7	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	aXikaraNam	4	4	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	varwamAnasamAnakAlaH	4	2	2	0.5	0.5
BAvalakRaNasapwamI_samAnakAlaH	prayojanam	4	4	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	upamAna_xyowakaH	2	2	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	prayojyakarwA	2	1	1	0.5	0.5
BAvalakRaNasapwamI_samAnakAlaH	apAxAnam	2	2	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	awyanwasaMyoga_sambanXaH	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	samucciwaH	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	samuccaya_xyowakaH	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	sampraxAnam	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	sahArWaH	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	vAkyakarma	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	karmasamAnAXikaraNam	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	kAlAXikaraNam	1	1	0	1.0	0.0
BAvalakRaNasapwamI_samAnakAlaH	muKyakarma	1	1	0	1.0	0.0
Gataka	viSeRaNam	56	48	8	0.857	0.143
Gataka	Gataka_xyowakaH	16	16	0	1.0	0.0
Gataka	sambanXaH	6	4	2	0.667	0.333
Gataka	samuccaya_xyowakaH	3	3	0	1.0	0.0
Gataka_xyowakaH	viSeRaNam	1	1	0	1.0	0.0
Gataka_xyowakaH	sambanXaH	1	1	0	1.0	0.0
RaRTIsambanXaH	viSeRaNam	986	572	414	0.58	0.42
RaRTIsambanXaH	sambanXaH	191	139	52	0.728	0.272
RaRTIsambanXaH	upamAna_xyowakaH	39	28	11	0.718	0.282
RaRTIsambanXaH	karma	35	21	14	0.6	0.4
RaRTIsambanXaH	samuccaya_xyowakaH	31	18	13	0.581	0.419
RaRTIsambanXaH	viXeya_viSeRaNam	23	16	7	0.696	0.304
RaRTIsambanXaH	kriyAviSeRaNam	18	12	6	0.667	0.333
RaRTIsambanXaH	sup_samuccaya_xyowakaH	11	8	3	0.727	0.273
RaRTIsambanXaH	upamAnam	10	8	2	0.8	0.2
RaRTIsambanXaH	samboXyaH	5	3	2	0.6	0.4
RaRTIsambanXaH	wulanA_binxuH	4	2	2	0.5	0.5
RaRTIsambanXaH	sahArWaH	4	3	1	0.75	0.25
RaRTIsambanXaH	sahArWa_xyowakaH	4	4	0	1.0	0.0
RaRTIsambanXaH	karmasamAnAXikaraNam	3	2	1	0.667	0.333
RaRTIsambanXaH	Gataka	3	0	3	1.0	0.0
RaRTIsambanXaH	vAkyakarma_xyowakaH	3	2	1	0.667	0.333
RaRTIsambanXaH	viRayAXikaraNam	3	2	1	0.667	0.333
RaRTIsambanXaH	prayojanam	3	2	1	0.667	0.333
RaRTIsambanXaH	saFjFA_xyowakaH	2	2	0	1.0	0.0
RaRTIsambanXaH	saFjFA	2	1	1	0.5	0.5
RaRTIsambanXaH	anyawara_xyowakaH	1	1	0	1.0	0.0
RaRTIsambanXaH	muKyakarma	1	1	0	1.0	0.0
RaRTIsambanXaH	sampraxAnam	1	1	0	1.0	0.0
RaRTIsambanXaH	sup_anyawara_xyowakaH	1	1	0	1.0	0.0
RaRTIsambanXaH	sup_anyawaraH	1	1	0	1.0	0.0
RaRTIsambanXaH	prayojyakarwA	1	1	0	1.0	0.0
RaRTIsambanXaH	apavarga_sambanXaH	1	1	0	1.0	0.0
aBexaH	sambanXaH	5	3	2	0.6	0.4
aBexaH	samuccaya_xyowakaH	4	2	2	0.5	0.5
aBexaH	RaRTIsambanXaH	4	1	3	0.75	0.25
aBexaH	viXeya_viSeRaNam	1	1	0	1.0	0.0
aBexaH	saFjFA	1	1	0	1.0	0.0
aBexaH	prayojanam	1	1	0	1.0	0.0
aBexaH	prawiReXaH	1	1	0	1.0	0.0
aBexaH	karwA	1	1	0	1.0	0.0
aBexaH	sampraxAnam	1	1	0	1.0	0.0
aBexaH	karma	1	1	0	1.0	0.0
aBexaH	sup_samuccaya_xyowakaH	1	1	0	1.0	0.0
