akRara akAra
aSva uccEHSravasa
Axiwya viRNu
AyuXa vajra
BUwa cewanA
Cala xyuwa
Canxas gAyawrI
gajenxra ErAvawa
ganXarva ciwraraWa
inxriya manas
JaRa makara
jigIRaw nIwi
jyowi ravi
kavi uSanA
mahaw-qRi Bqgu
makRawra SaSin
maruw marIci
mAsa mArgaSIrRa
muni vyAsa
nAga ananwa
nq xvija
pakRin vEnaweya
pANdava XanaFjaya
qwu kusumAkara
ruxra Safkara
sAmAsika xvanxva
saras sAgara
sarpa vAsuki
sawwvavaw sawwva
SiKarin meru
sWAvara himAlaya
vasu pAvaka
vexa sAmavexa
vqkRa aSvawWa
vqRNi vAsuxeva
xamayaw xaNda
xeva-qRi nAraxa
xeva vAsava
xEwya prahlAxa
yakRa viwweSa
