Sas,kara~ke
1,0
20,0
2kA,kA
2,ko
2meM,meM
2para,para
2se,se
2u6,kA
3,se
3xvArA,ke~xvArA
3u,kA
4ke_liye,ke~liye
4kI,kI
4,ko
4ko,ko
4meM,meM
4para,para
4se,se
4u,kA
5,se
5u,kA
6,kA
7,meM
7u,kA
8,0
karmaNi_lat,yA_jAwA_hE
karmaNi_lat_sma,yA_jAwA_WA
karmaNi_lut,yA
karmaNi_laf,yA_gayA
karmaNi_lot,subj
karmaNi_lqt,gA
karmaNi_lqf,yA_gayA
karwari_laf,yA
karwari_luf,yA
karwari_lqf,wA_hE~wo
#To decide the exact mng of lqf
karwari_lat_sma,wA_WA
#Sawq_lat,0_rahA_hE
Sawq_lat,wA_huA
Sawq_laf,0_rahA_WA
Sawq_luf,0_rahA_WA
Sawq_lit,0_rahA_WA
Sawq_lut,0_rahA_hogA
Sawq_lqt,0_rahA_hogA
Sawq_ASIrlif,0_rahA_hogA
karwari_lat,wA_hE
karwari_lit,yA
karwari_lot,subj
karwari_lut,gA
karwari_lqt,gA
karwari_viXilif,subj
karwari_ASIrlif,subj
kwvA,0_kara
lyap,0_kara
kwa,yA_huA
kwa_fin,yA
kwavawu,yA
kwavawu_fin,yA
Sawq,wA_huA
wasil,se
SAnac,wA_huA
wumun,nA~ke_liye
wumunkI,nA~kI
wumun0,0
wqc,ne_vAlA
lyut,nA
anIyar,nA
wavyaw,nA_cAhiye
BAve_lat,yA_jAwA_hE
