x	y	s	xy	yx	pxy	pyx
2	7	1	0	1	0.0	1.0
2	9	1	1	0	1.0	0.0
2	27	2	2	0	1.0	0.0
2	28	19	17	2	0.895	0.105
2	32	23	15	8	0.652	0.348
2	35	1	1	0	1.0	0.0
2	44	2	1	1	0.5	0.5
2	49	1	0	1	0.0	1.0
2	61	25	14	11	0.56	0.44
2	64	5	5	0	1.0	0.0
2	79	1	1	0	1.0	0.0
2	82	4	4	0	1.0	0.0
2	300	6	5	1	0.833	0.167
3	7	56	43	13	0.768	0.232
3	9	7	7	0	1.0	0.0
3	10	1	1	0	1.0	0.0
3	11	1	1	0	1.0	0.0
3	13	1	1	0	1.0	0.0
3	14	32	26	6	0.812	0.188
3	15	2	0	2	0.0	1.0
3	16	2	1	1	0.5	0.5
3	18	2	1	1	0.5	0.5
3	19	1	1	0	1.0	0.0
3	20	2	2	0	1.0	0.0
3	22	1	1	0	1.0	0.0
3	24	10	3	7	0.3	0.7
3	25	4	4	0	1.0	0.0
3	26	13	10	3	0.769	0.231
3	28	9	4	5	0.444	0.556
3	34	8	3	5	0.375	0.625
3	40	4	4	0	1.0	0.0
3	44	1	0	1	0.0	1.0
3	47	4	0	4	0.0	1.0
3	49	6	6	0	1.0	0.0
3	60	1	1	0	1.0	0.0
3	64	1	1	0	1.0	0.0
3	75	4	2	2	0.5	0.5
3	80	2	2	0	1.0	0.0
3	92	1	1	0	1.0	0.0
3	99	1	1	0	1.0	0.0
4	7	47	38	9	0.809	0.191
4	9	7	6	1	0.857	0.143
4	10	1	1	0	1.0	0.0
4	14	32	31	1	0.969	0.031
4	15	1	1	0	1.0	0.0
4	16	1	1	0	1.0	0.0
4	18	2	2	0	1.0	0.0
4	23	1	1	0	1.0	0.0
4	24	23	18	5	0.783	0.217
4	25	7	2	5	0.286	0.714
4	26	13	13	0	1.0	0.0
4	28	24	19	5	0.792	0.208
4	32	1	1	0	1.0	0.0
4	34	4	3	1	0.75	0.25
4	35	3	3	0	1.0	0.0
4	40	3	2	1	0.667	0.333
4	44	1	0	1	0.0	1.0
4	47	6	2	4	0.333	0.667
4	49	3	3	0	1.0	0.0
4	75	3	3	0	1.0	0.0
5	7	2	0	2	0.0	1.0
5	9	1	0	1	0.0	1.0
5	14	2	2	0	1.0	0.0
5	28	3	0	3	0.0	1.0
5	44	1	1	0	1.0	0.0
7	8	1	0	1	0.0	1.0
7	9	1429	1168	261	0.817	0.183
7	10	173	110	63	0.636	0.364
7	11	130	102	28	0.785	0.215
7	12	82	66	16	0.805	0.195
7	13	40	15	25	0.375	0.625
7	14	3516	2571	945	0.731	0.269
7	18	478	284	194	0.594	0.406
7	19	152	105	47	0.691	0.309
7	20	310	175	135	0.565	0.435
7	21	209	102	107	0.488	0.512
7	22	355	124	231	0.349	0.651
7	23	35	22	13	0.629	0.371
7	24	1228	737	491	0.6	0.4
7	25	1532	729	803	0.476	0.524
7	26	886	591	295	0.667	0.333
7	27	3	1	2	0.333	0.667
7	28	1588	1018	570	0.641	0.359
7	31	3	0	3	0.0	1.0
7	32	59	34	25	0.576	0.424
7	33	1	0	1	0.0	1.0
7	34	522	229	293	0.439	0.561
7	35	43	28	15	0.651	0.349
7	40	477	343	134	0.719	0.281
7	42	2	0	2	0.0	1.0
7	43	1	1	0	1.0	0.0
7	44	156	53	103	0.34	0.66
7	47	453	152	301	0.336	0.664
7	48	1	0	1	0.0	1.0
7	49	341	192	149	0.563	0.437
7	53	2	0	2	0.0	1.0
7	60	122	94	28	0.77	0.23
7	61	7	3	4	0.429	0.571
7	62	1	1	0	1.0	0.0
7	64	56	33	23	0.589	0.411
7	65	1	1	0	1.0	0.0
7	66	1	1	0	1.0	0.0
7	75	206	121	85	0.587	0.413
7	76	1	1	0	1.0	0.0
7	79	21	20	1	0.952	0.048
7	80	109	100	9	0.917	0.083
7	81	32	23	9	0.719	0.281
7	82	2	1	1	0.5	0.5
7	83	1	1	0	1.0	0.0
7	85	3	3	0	1.0	0.0
7	92	38	28	10	0.737	0.263
7	93	5	4	1	0.8	0.2
7	95	7	3	4	0.429	0.571
7	97	73	50	23	0.685	0.315
7	99	6	2	4	0.333	0.667
7	300	16	12	4	0.75	0.25
7	4300	2	1	1	0.5	0.5
8	14	1	0	1	0.0	1.0
8	24	1	0	1	0.0	1.0
8	25	1	0	1	0.0	1.0
8	28	1	1	0	1.0	0.0
8	47	3	1	2	0.333	0.667
9	10	2	0	2	0.0	1.0
9	11	2	1	1	0.5	0.5
9	12	2	1	1	0.5	0.5
9	13	1	0	1	0.0	1.0
9	14	117	98	19	0.838	0.162
9	16	1	1	0	1.0	0.0
9	18	55	7	48	0.127	0.873
9	19	4	2	2	0.5	0.5
9	20	49	19	30	0.388	0.612
9	21	20	5	15	0.25	0.75
9	22	35	1	34	0.029	0.971
9	23	3	1	2	0.333	0.667
9	24	177	58	119	0.328	0.672
9	25	222	32	190	0.144	0.856
9	26	99	43	56	0.434	0.566
