akRara akAra
aSva uccEHSravasa
Axiwya viRNu
AyuXa vajra
BUwa cewanA
Cala xyuwa
Canxas gAyawrI
gajenxra ErAvawa
ganXarva ciwraraWa
inxriya manas
JaRa makara
jyowi ravi
jigIRaw nIwi
kavi uSanA
mahaw-qRi Bqgu
makRawra SaSin
maruw marIci
mAsa mArgaSIrRa
muni vyAsa
nAga ananwa
pakRin vEnaweya
pANdava XanaFjaya
qwu kusumAkara
ruxra Safkara
sAmAsika xvanxva
saras sAgara
sarpa vAsuki
SiKarin meru
sWAvara himAlaya
sawwvavaw sawwva
vasu pAvaka
vexa sAmavexa
vqkRa aSvawWa
vqRNi vAsuxeva
xamayaw xaNda
xeva-qRi nAraxa
xeva vAsava
xEwya prahlAxa
yakRa viwweSa
