ABa,ABA
ABAsura,ABAsurA
ABAsvara,ABAsvarA
ABIla,ABIlA
ABiRecanika,ABiRecanikI
ABiXa,ABiXA
ABiXAnika,ABiXAnikI
ABicArika,ABicArikI
ABihArika,ABihArikI
ABijana,ABijanI
ABugna,ABugnA
AByanwara,AByanwarI
AByavahArika,AByavahArikI
AByuxayaka,AByuxayikA
ADya,ADyA
ADyafkaraNa,ADyafkaraNI
AFjana,AFjanI
AGattana,AGattanA
AGoRaNa,AGoRaNA
AKetaka,AKetikA
AKya,AKyA
AKyAwi,AKyAwi
AKyAyaka,AKyAyikA
ANava,ANavI
ANda,ANdA
ANdIra,ANdIrA
ANaka,ANikA
ASa,ASA
ASaMsa,ASaMsA
ASafka,ASafkA
ASafkiwa,ASafkiwA
ASavana,ASavanI
AScarya,AScaryA
ASiFjiwa,ASiFjiwA
ASira,ASirA
ASis,ASis
ASiwa,ASiwA
ASiwaMBava,ASiwaMBavA
ASiwafgavIna,ASiwafgavInA
ASma,ASmI
ASmana,ASmanI
ASmika,ASmikI
ASramaka,ASramikA
ASrava,ASravA
ASri,ASri
ASriwa,ASriwA
ASruwa,ASruwA
ASruwi,ASruwi
ASva,ASvI
ASvawWa,ASvawWI
ASvayuja,ASvayujA
ASvayuja,ASvayujI
ASvina,ASvinI
AWarvaNa,AWarvaNI
AXarmaka,AXarmikA
AXiBOwika,AXiBOwikI
AXikArika,AXikArikI
AXikaraNaka,AXikaraNikA
AXunika,AXunikI
AXvanika,AXvanikI
AXvaryava,AXvaryavI
AXyAsika,AXyAsikI
AXyAwmika,AXyAwmikI
AbaxXa,AbaxXA
Abxa,AbxI
Abxika,AbxikI
AcAnwa,AcAnwA
AcAraka,AcArikA
AcAryAna,AcAryAnI
AcCuriwa,AcCuriwA
Afgika,AfgikI
AgAXa,AgAXA
AgAmika,AgAmikI
AgAmuka,AgAmukA
AgU,AgU
Aganwuka,AganwukA
Aganwuka,AganwukI
Agaswa,AgaswI
Agaswya,AgaswyA
Agawi,Agawi
Agneya,AgneyI
Agnika,AgnikI
AgrAhArika,AgrAhArikI
Agur,Agur
AhArya,AhAryA
Ahara,AharA
