Sr.No.	HEADWORD	GENDER	AMAR	ABCH	ACPH	ACSJ	ACVH
1	अर्हन्	पुं	x	1	x	x	x
1	जिन	पुं	x	1	x	x	x
1	पारगत	पुं	x	1	x	x	x
1	त्रिकालवित्	पुं	x	1	x	x	x
1	क्षीणाष्टकर्मन्	पुं	x	1	x	x	x
1	परमेष्ठिन्	पुं	x	1	x	x	x
1	अधीश्वर	पुं	x	1	x	x	x
1	शम्भु	पुं	x	1	x	x	x
1	स्वयम्भू	पुं	x	1	x	x	x
1	भगवत्	पुं	x	1	x	x	x
1	जगत्प्रभु	पुं	x	1	x	x	x
1	तीर्थङ्कर	पुं	x	1	x	x	x
1	तीर्थकर	पुं	x	1	x	x	x
1	जिनेश्वर	पुं	x	1	x	x	x
1	स्याद्वादिन्	पुं	x	1	x	x	x
1	अभयद	पुं	x	1	x	x	x
1	सार्व	पुं	x	1	x	x	x
1	सर्वज्ञ	पुं	x	1	x	x	x
1	सर्वदर्शिन्	पुं	x	1	x	x	x
1	केवलिन्	पुं	x	1	x	x	x
1	देवाधिदेव	पुं	x	1	x	x	x
1	बोधिद	पुं	x	1	x	x	x
1	पुरुषोत्तम	पुं	x	1	x	x	x
1	वीतराग	पुं	x	1	x	x	x
1	आप्त	पुं	x	1	x	x	x
1	सर्वीय	पुं	x	x	x	1	x
1	अनेकान्तवादिन्	पुं	x	x	x	x	1
1	सार्वीय	पुं	x	x	x	x	1
2	ऋषभ	पुं	x	2	x	x	x
2	युगादिजिन	पुं	x	x	x	2	x
3	अजित	पुं	x	3	x	x	x
4	शम्भव	पुं	x	4	x	x	x
4	सम्भव	पुं	x	x	x	4	4
5	अभिनन्दन	पुं	x	5	x	x	x
6	सुमति	पुं	x	6	x	x	x
7	पद्मप्रभ	पुं	x	7	x	x	x
8	सुपार्श्व	पुं	x	8	x	x	x
9	चन्द्रप्रभ	पुं	x	9	x	x	x
10	सुविधि	पुं	x	10	x	x	x
11	शीतल	पुं	x	11	x	x	x
12	श्रेयांस	पुं	x	12	x	x	x
13	वासुपूज्य	पुं	x	13	x	x	x
14	विमल	पुं	x	14	x	x	x
15	अनन्ततीर्थकृत्	पुं	x	15	x	x	x
16	धर्म	पुं	x	16	x	x	x
17	शान्ति	पुं	x	17	x	x	x
18	कुन्थु	पुं	x	18	x	x	x
19	अर	पुं	x	19	x	x	x
20	मल्लि	पुं	x	20	x	x	x
21	मुनिसुव्रत	पुं	x	21	x	x	x
21	मुनि	पुं	x	x	x	21	x
22	नमि	पुं	x	22	x	x	x
23	नेमि	पुं	x	23	x	x	x
23	नेमिन्	पुं	x	x	x	23	23
24	पार्श्व	पुं	x	24	x	x	x
24	पार्श्वनाथ	पुं	x	x	x	x	24
25	वीर	पुं	x	25	x	x	x
26	ऋषभ	पुं	x	26	x	x	x
26	वृषभ	पुं	x	26	x	x	x
27	श्रेयस्	पुं	x	27	x	x	x
27	श्रेयांस	पुं	x	27	x	x	x
28	अनन्तजित्	पुं	x	28	x	x	x
28	अनन्त	पुं	x	28	x	x	x
29	सुविधि	पुं	x	29	x	x	x
29	पुष्पदन्त	पुं	x	29	x	x	x
30	मुनिसुव्रत	पुं	x	30	x	x	x
30	सुव्रत	पुं	x	30	x	x	x
30	मुनि	पुं	x	x	x	x	30
31	अरिष्टनेमि	पुं	x	31	x	x	x
31	नेमि	पुं	x	31	x	x	x
32	वीर	पुं	x	32	x	x	x
32	चरमतीर्थकृत्	पुं	x	32	x	x	x
32	महावीर	पुं	x	32	x	x	x
32	वर्धमान	पुं	x	32	x	x	x
32	देवार्य	पुं	x	32	x	x	x
32	ज्ञातनन्दन	पुं	x	32	x	x	x
33	गण	पुं	x	33	x	x	x
33	ऋषिसङ्घ	पुं	x	33	x	x	x
34	गणाधिप	पुं	x	34	x	x	x
35	इन्द्रभूति	पुं	x	35	x	x	x
36	अग्निभूति	पुं	x	36	x	x	x
37	वायुभूति	पुं	x	37	x	x	x
38	गोतम	पुं	x	38	x	x	x
39	व्यक्त	पुं	x	39	x	x	x
40	सुधर्म	पुं	x	40	x	x	x
41	मण्डित	पुं	x	41	x	x	x
41	मण्डितपुत्र	पुं	x	x	x	41	41
42	मौर्यपुत्र	पुं	x	42	x	x	x
43	अकम्पित	पुं	x	43	x	x	x
44	अचलभ्रातृ	पुं	x	44	x	x	x
45	मेतार्य	पुं	x	45	x	x	x
46	प्रभास	पुं	x	46	x	x	x
47	केवलिन्	पुं	x	47	x	x	x
48	जम्बूस्वामिन्	पुं	x	48	x	x	x
49	श्रुतकेवलिन्	पुं	x	49	x	x	x
50	प्रभवप्रभु	पुं	x	50	x	x	x
51	शय्यम्भव	पुं	x	51	x	x	x
52	यशोभद्र	पुं	x	52	x	x	x
53	सम्भूतविजय	पुं	x	53	x	x	x
54	भद्रबाहु	पुं	x	54	x	x	x
55	स्थूलभद्र	पुं	x	55	x	x	x
56	महागिरि	पुं	x	56	x	x	x
57	सुहस्तिन्	पुं	x	57	x	x	x
58	वज्र	पुं	x	58	x	x	x
59	दशपूर्विणः	पुंब	x	59	x	x	x
60	इक्ष्वाकु	पुं	x	60	x	x	x
61	हरि	पुं	x	61	x	x	x
62	अर्हत्पितृ	पुं	x	62	x	x	x
63	नाभि	पुं	x	63	x	x	x
64	जितशत्रु	पुं	x	64	x	x	x
65	जितारि	पुं	x	65	x	x	x
66	संवर	पुं	x	66	x	x	x
67	मेघ	पुं	x	67	x	x	x
68	धर	पुं	x	68	x	x	x
69	प्रतिष्ठ	पुं	x	69	x	x	x
70	महासेननरेश्वर	पुं	x	70	x	x	x
71	सुग्रीव	पुं	x	71	x	x	x
72	दृढरथ	पुं	x	72	x	x	x
73	विष्णु	पुं	x	73	x	x	x
74	वसुपुज्यराज्	पुं	x	74	x	x	x
75	कृतवर्मन्	पुं	x	75	x	x	x
76	सिंहसेन	पुं	x	76	x	x	x
77	भानु	पुं	x	77	x	x	x
78	विश्वसेनराज्	पुं	x	78	x	x	x
79	सूर	पुं	x	79	x	x	x
80	सुदर्शन	पुं	x	80	x	x	x
81	कुम्भ	पुं	x	81	x	x	x
82	सुमित्र	पुं	x	82	x	x	x
83	विजय	पुं	x	83	x	x	x
84	समुद्रविजय	पुं	x	84	x	x	x
85	अश्वसेन	पुं	x	85	x	x	x
86	सिद्धार्थ	पुं	x	86	x	x	x
87	अर्हन्मातृ	स्त्री	x	87	x	x	x
88	मरुदेवा	स्त्री	x	88	x	x	x
88	मरुदेवी	स्त्री	x	x	x	88	88
89	विजया	स्त्री	x	89	x	x	x
90	सेना	स्त्री	x	90	x	x	x
91	सिद्धार्था	स्त्री	x	91	x	x	x
92	मङ्गला	स्त्री	x	92	x	x	x
93	सुसीमा	स्त्री	x	93	x	x	x
94	पृथ्वी	स्त्री	x	94	x	x	x
95	लक्ष्मणा	स्त्री	x	95	x	x	x
96	रामा	स्त्री	x	96	x	x	x
97	नन्दा	स्त्री	x	97	x	x	x
98	विष्णु	स्त्री	x	98	x	x	x
99	जया	स्त्री	x	99	x	x	x
100	श्यामा	स्त्री	x	100	x	x	x
101	सुयशा	स्त्री	x	101	x	x	x
102	सुव्रता	स्त्री	x	102	x	x	x
103	अचिरा	स्त्री	x	103	x	x	x
104	श्री	स्त्री	x	104	x	x	x
105	देवी	स्त्री	x	105	x	x	x
106	प्रभावती	स्त्री	x	106	x	x	x
107	पद्मा	स्त्री	x	107	x	x	x
108	वप्रा	स्त्री	x	108	x	x	x
109	शिवा	स्त्री	x	109	x	x	x
110	वामा	स्त्री	x	110	x	x	x
111	त्रिशला	स्त्री	x	111	x	x	x
112	अर्हदुपासक	पुं	x	112	x	x	x
113	गोमुख	पुं	x	113	x	x	x
114	महायक्ष	पुं	x	114	x	x	x
115	त्रिमुख	पुं	x	115	x	x	x
116	यक्षनायक	पुं	x	116	x	x	x
117	तुम्बुरु	पुं	x	117	x	x	x
118	कुसुम	पुं	x	118	x	x	x
119	मातङ्ग	पुं	x	119	x	x	x
120	विजय	पुं	x	120	x	x	x
121	अजित	पुं	x	121	x	x	x
122	ब्रह्मन्	पुं	x	122	x	x	x
123	यक्षेश्	पुं	x	123	x	x	x
124	कुमार	पुं	x	124	x	x	x
125	षण्मुख	पुं	x	125	x	x	x
126	पाताल	पुं	x	126	x	x	x
127	किन्नर	पुं	x	127	x	x	x
128	गरुड	पुं	x	128	x	x	x
129	गन्धर्व	पुं	x	129	x	x	x
130	यक्षेश्	पुं	x	130	x	x	x
131	कुबेर	पुं	x	131	x	x	x
132	वरुण	पुं	x	132	x	x	x
133	भृकुटि	पुं	x	133	x	x	x
134	गोमेध	पुं	x	134	x	x	x
135	पार्श्व	पुं	x	135	x	x	x
136	मातङ्ग	पुं	x	136	x	x	x
137	शासनदेवता	स्त्री	x	137	x	x	x
138	चक्रेश्वरी	स्त्री	x	138	x	x	x
138	अप्रतिचक्रा	स्त्री	x	x	x	138	138
139	अजितबला	स्त्री	x	139	x	x	x
139	अजिता	स्त्री	x	x	x	139	139
140	दुरितारि	स्त्री	x	140	x	x	x
141	कालिका	स्त्री	x	141	x	x	x
142	महाकाली	स्त्री	x	142	x	x	x
142	काञ्चनवर्णा	स्त्री	x	x	x	x	142
143	श्यामा	स्त्री	x	143	x	x	x
143	अच्युतदेवी	स्त्री	x	x	x	143	143
144	शान्ता	स्त्री	x	144	x	x	x
145	भृकुटि	स्त्री	x	145	x	x	x
146	सुतारका	स्त्री	x	146	x	x	x
146	सुतारा	स्त्री	x	x	x	146	146
147	अशोका	स्त्री	x	147	x	x	x
148	मानवी	स्त्री	x	148	x	x	x
149	चण्डा	स्त्री	x	149	x	x	x
150	विदिता	स्त्री	x	150	x	x	x
151	अङ्कुशा	स्त्री	x	151	x	x	x
152	कन्दर्पा	स्त्री	x	152	x	x	x
153	निर्वाणी	स्त्री	x	153	x	x	x
154	बला	स्त्री	x	154	x	x	x
155	धारिणी	स्त्री	x	155	x	x	x
156	धरणप्रिया	स्त्री	x	156	x	x	x
157	नरदत्ता	स्त्री	x	157	x	x	x
158	गान्धारी	स्त्री	x	158	x	x	x
159	अम्बिका	स्त्री	x	159	x	x	x
159	कुष्माण्डी	स्त्री	x	x	x	x	159
160	पद्मावती	स्त्री	x	160	x	x	x
161	सिद्धायिका	स्त्री	x	161	x	x	x
162	तीर्थङ्करचिह्न	पुं	x	162	x	x	x
163	वृष	पुं	x	163	x	x	x
164	गज	पुं	x	164	x	x	x
165	अश्व	पुं	x	165	x	x	x
166	प्लवग	पुं	x	166	x	x	x
167	क्रौञ्च	पुं	x	167	x	x	x
168	अब्ज	क्ली	x	168	x	x	x
169	स्वस्तिक	पुं	x	169	x	x	x
170	शशिन्	पुं	x	170	x	x	x
171	मकर	पुं	x	171	x	x	x
